model,conflict_type,recognition_rate
qwen2.5-7b-instruct,Case,0.11846153846153845
qwen2.5-7b-instruct,Keyword Usage,0.05153846153846153
qwen2.5-7b-instruct,Keyword Frequency,0.05596153846153846
qwen2.5-7b-instruct,Language,0.2734615384615384
qwen2.5-7b-instruct,Sentence Count,0.05538461538461539
qwen2.5-7b-instruct,Word Length,0.057499999999999996
gpt-4o-mini-2024-07-18,Case,0.11923076923076924
gpt-4o-mini-2024-07-18,Keyword Usage,0.015192307692307692
gpt-4o-mini-2024-07-18,Keyword Frequency,0.018653846153846156
gpt-4o-mini-2024-07-18,Language,0.0471153846153846
gpt-4o-mini-2024-07-18,Sentence Count,0.01403846153846154
gpt-4o-mini-2024-07-18,Word Length,0.021730769230769234
gpt-4o-2024-11-20,Case,0.4790384615384615
gpt-4o-2024-11-20,Keyword Usage,0.17557692307692305
gpt-4o-2024-11-20,Keyword Frequency,0.29346153846153844
gpt-4o-2024-11-20,Language,0.37307692307692303
gpt-4o-2024-11-20,Sentence Count,0.10807692307692308
gpt-4o-2024-11-20,Word Length,0.14057692307692307
claude-3-5-sonnet-20241022,Case,0.19730769230769235
claude-3-5-sonnet-20241022,Keyword Usage,0.06576923076923077
claude-3-5-sonnet-20241022,Keyword Frequency,0.11288461538461539
claude-3-5-sonnet-20241022,Language,0.12326923076923078
claude-3-5-sonnet-20241022,Sentence Count,0.05788461538461539
claude-3-5-sonnet-20241022,Word Length,0.06173076923076923
Llama-3.1-8B,Case,0.5126923076923077
Llama-3.1-8B,Keyword Usage,0.17153846153846158
Llama-3.1-8B,Keyword Frequency,0.2448076923076923
Llama-3.1-8B,Language,0.615576923076923
Llama-3.1-8B,Sentence Count,0.2076923076923077
Llama-3.1-8B,Word Length,0.22865384615384615
Llama-3.1-70B,Case,0.4846153846153846
Llama-3.1-70B,Keyword Usage,0.18019230769230768
Llama-3.1-70B,Keyword Frequency,0.31500000000000006
Llama-3.1-70B,Language,0.5165384615384615
Llama-3.1-70B,Sentence Count,0.2121153846153846
Llama-3.1-70B,Word Length,0.18846153846153843
