model,Conflict Type,Unmarked System PES,Unmarked System INS,Marked System PES,Marked System INS,Unmarked User PES,Unmarked User INS,Marked User PES,Marked User INS
qwen2.5-7b-instruct,Case,0.38,0.5,0.6625,0.655,0.29,0.5,0.6675,0.625
qwen2.5-7b-instruct,Keyword Usage,0.22250000000000003,0.925,0.35750000000000004,0.825,0.26749999999999996,0.855,0.485,0.99
qwen2.5-7b-instruct,Keyword Frequency,0.6125,0.675,0.77,0.65,0.6849999999999999,0.79,0.8300000000000001,0.7100000000000001
qwen2.5-7b-instruct,Language,0.2575,0.485,0.575,0.72,0.1925,0.615,0.9099999999999999,0.89
qwen2.5-7b-instruct,Sentence Count,0.46499999999999997,0.97,0.5975,0.915,0.4375,0.985,0.6775,0.895
qwen2.5-7b-instruct,Word Length,0.28500000000000003,0.49,0.4925,0.625,0.33,0.39,0.6224999999999999,0.7749999999999999
gpt-4o-mini-2024-07-18,Case,0.6224999999999999,0.30500000000000005,0.95,0.98,0.6875,0.525,0.97,0.95
gpt-4o-mini-2024-07-18,Keyword Usage,0.4225,0.655,0.7625,0.715,0.3075,0.6449999999999999,0.9175,0.9450000000000001
gpt-4o-mini-2024-07-18,Keyword Frequency,0.64,0.3799999999999999,0.695,0.41999999999999993,0.655,0.42999999999999994,0.85,0.73
gpt-4o-mini-2024-07-18,Language,0.975,0.96,1.0,1.0,0.9725,0.9450000000000001,1.0,1.0
gpt-4o-mini-2024-07-18,Sentence Count,0.415,0.5800000000000001,0.6125,0.565,0.38,0.5800000000000001,0.69,0.54
gpt-4o-mini-2024-07-18,Word Length,0.3425,0.645,0.845,0.86,0.3175,0.595,0.895,0.94
gpt-4o-2024-11-20,Case,0.6375,0.905,0.9725,0.9550000000000001,0.715,0.97,0.9675,0.9750000000000001
gpt-4o-2024-11-20,Keyword Usage,0.4475,0.20499999999999985,0.8375,0.985,0.4225,0.28500000000000003,0.8775,0.805
gpt-4o-2024-11-20,Keyword Frequency,0.5175,0.7350000000000001,0.8500000000000001,0.9199999999999999,0.7350000000000001,0.8899999999999999,0.8999999999999999,0.9299999999999999
gpt-4o-2024-11-20,Language,0.6475,0.605,0.9975,0.995,0.7949999999999999,0.6600000000000001,0.9924999999999999,0.985
gpt-4o-2024-11-20,Sentence Count,0.33499999999999996,0.72,0.595,0.5800000000000001,0.42250000000000004,0.685,0.6599999999999999,0.51
gpt-4o-2024-11-20,Word Length,0.45499999999999996,0.44999999999999996,0.7,0.5800000000000001,0.47750000000000004,0.475,0.7150000000000001,0.6699999999999999
claude-3-5-sonnet-20241022,Case,0.58,0.5599999999999999,0.9575,0.9650000000000001,0.57,0.32000000000000006,0.9575,0.935
claude-3-5-sonnet-20241022,Keyword Usage,0.5625,0.785,0.8300000000000001,0.8999999999999999,0.4875,0.8250000000000001,0.905,0.92
claude-3-5-sonnet-20241022,Keyword Frequency,0.7075,0.675,0.8899999999999999,0.85,0.7375,0.685,0.8574999999999999,0.7749999999999999
claude-3-5-sonnet-20241022,Language,0.915,0.87,0.995,0.99,0.9125,0.935,1.0,1.0
claude-3-5-sonnet-20241022,Sentence Count,0.4825,0.775,0.6875,0.605,0.51,0.89,0.67,0.57
claude-3-5-sonnet-20241022,Word Length,0.335,0.69,0.815,0.89,0.35250000000000004,0.855,0.8374999999999999,0.9750000000000001
Llama-3.1-8B,Case,0.395,0.41000000000000003,0.6175,0.855,0.4125,0.43500000000000005,0.725,0.74
Llama-3.1-8B,Keyword Usage,0.14500000000000002,0.8300000000000001,0.31500000000000006,0.78,0.17750000000000005,0.845,0.47250000000000003,0.4750000000000001
Llama-3.1-8B,Keyword Frequency,0.45499999999999996,0.3700000000000001,0.5700000000000001,0.41999999999999993,0.5025,0.555,0.6575,0.5049999999999999
Llama-3.1-8B,Language,0.53,0.67,0.665,0.99,0.52,0.83,0.8175,0.975
Llama-3.1-8B,Sentence Count,0.3125,0.795,0.5549999999999999,0.83,0.28500000000000003,0.81,0.7,0.72
Llama-3.1-8B,Word Length,0.3275,0.625,0.485,0.5,0.35750000000000004,0.685,0.49,0.3999999999999999
Llama-3.1-70B,Case,0.47250000000000003,0.125,0.79,0.6499999999999999,0.4725,0.16500000000000004,0.9099999999999999,0.87
Llama-3.1-70B,Keyword Usage,0.28,0.49,0.635,0.66,0.30750000000000005,0.475,0.6625,0.605
Llama-3.1-70B,Keyword Frequency,0.55,0.8799999999999999,0.9724999999999999,0.995,0.72,0.99,0.9425,0.995
Llama-3.1-70B,Language,0.665,0.57,1.0,1.0,0.6925,0.4949999999999999,0.985,0.97
Llama-3.1-70B,Sentence Count,0.30500000000000005,0.97,0.8175,0.975,0.3225,0.965,0.8300000000000001,0.9099999999999999
Llama-3.1-70B,Word Length,0.19500000000000006,0.95,0.815,0.87,0.20500000000000002,0.82,0.84,0.97
